Players,Nationality,Type,Price Paid,Team
Rahul Tripathi,Indian,Batsman,"₹8,50,00,000",SRH
Abhishek Sharma,Indian,All-Rounder,"₹6,50,00,000",SRH
Vishnu Vinod,Indian,Wicket Keeper,"₹50,00,000",SRH
Kartik Tyagi,Indian,Bowler,"₹4,00,00,000",SRH
Shreyas Gopal,Indian,Bowler,"₹75,00,000",SRH
Jagadeesha Suchith,Indian,Bowler,"₹20,00,000",SRH
Aiden Markram,Overseas,Batsman,"₹2,60,00,000",SRH
Marco Jansen,Overseas,All-Rounder,"₹4,20,00,000",SRH
Romario Shepherd,Overseas,All-Rounder,"₹7,75,00,000",SRH
Glenn Phillips,Overseas,Wicket Keeper,"₹1,50,00,000",SRH
Fazalhaq Farooqi,Overseas,Bowler,"₹50,00,000",SRH
Sean Abbott,Overseas,Bowler,"₹2,40,00,000",SRH
R Samarth,Indian,Batsman,"₹20,00,000",SRH
Shashank Singh,Indian,All-Rounder,"₹20,00,000",SRH
Saurabh Dubey,Indian,Bowler,"₹20,00,000",SRH
